ProductID,SKU,ProductName,Category,PrimaryRawMaterial,MaterialIndexWeight,BaseUnitCost_USD,Currency,StandardLeadTimeDays,ReorderPoint,SupplierID
PRD-00001,SKU-SYN-90059,Printed Circuit Boards Grade-B,Printed Circuit Boards,Copper,0.35,2872.21,USD,82,500 units,SUP-00465
PRD-00002,SKU-SYN-38528,Industrial Resins & Plastics Grade-C,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2129.31,USD,76,500 units,SUP-00390
PRD-00003,SKU-SYN-24735,Synthetic Lubricants Grade-D,Synthetic Lubricants,Crude Oil / Polymers,0.8,1639.17,USD,64,500 units,SUP-00465
PRD-00004,SKU-SYN-58509,Corrugated Packaging Grade-E,Corrugated Packaging,Packaging,0.2,74.84,USD,74,500 units,SUP-00329
PRD-00005,SKU-SYN-26660,Copper Conductors & Wiring Grade-F,Copper Conductors & Wiring,Copper,0.65,411.48,USD,53,500,SUP-00041
PRD-00006,SKU-SYN-10739,Synthetic Lubricants Grade-G,Synthetic Lubricants,Crude Oil / Polymers,0.8,$415.26,USD,71,500,SUP-00319
PRD-00007,SKU-SYN-35232,Synthetic Lubricants Grade-H,Synthetic Lubricants,Crude Oil / Polymers,0.8,1120.99,USD,14,500,SUP-00584
PRD-00008,SKU-SYN-56566,Heavy Engine Castings Grade-I,,Steel,0.5,450.29,USD,26,,SUP-00423
PRD-00009,SKU-SYN-91582,Industrial Resins & Plastics Grade-J,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1641.4,USD,54,250,SUP-00383
PRD-00010,SKU-SYN-20172,heavy engine castings grade-10,Heavy Engine Castings,Steel,0.5,1931.87,USD,55,100,SUP-00151
PRD-00011,SKU-SYN-42159,Corrugated Packaging Grade-L,Corrugated Packaging,Packaging,0.2,2050.86,USD,33,250,SUP-00893
PRD-00012,sku_12,Industrial Resins & Plastics Grade-M,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$451.27,USD,47,100,SUP-00256
PRD-00013,SKU-SYN-27860,Synthetic Lubricants Grade-N,Synthetic Lubricants,Crude Oil / Polymers,0.8,110.25,USD,64,250,SUP-00823
PRD-00014,SKU-SYN-66321,Copper Conductors & Wiring Grade-O,Copper Conductors & Wiring,Copper,0.65,3196.27,USD,47,,SUP-00765
PRD-00015,SKU-SYN-30591,Corrugated Packaging Grade-P,Corrugated Packaging,Packaging,0.2,2297.27,USD,88,,SUP-00781
PRD-00016,SKU-SYN-23399,Synthetic Lubricants Grade-Q,,Crude Oil / Polymers,0.8,688.45,USD,59,250,SUP-00368
PRD-00017,SKU-SYN-32807,Copper Conductors & Wiring Grade-R,Copper Conductors & Wiring,Copper,0.65,2904.17,USD,85,100,SUP-00743
PRD-00018,SKU-SYN-98452,Industrial Resins & Plastics Grade-S,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$1514.42,USD,-10,100,SUP-00284
PRD-00019,SKU-SYN-88807,Copper Conductors & Wiring Grade-T,Copper Conductors & Wiring,Copper,0.65,3160.39,USD,18,100,SUP-00543
PRD-00020,SKU-SYN-40080,industrial resins & plastics grade-20,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,917.39,USD,48,500 units,SUP-99999
PRD-00021,SKU-SYN-51441,Printed Circuit Boards Grade-V,Printed Circuit Boards,Copper,0.35,1214.73,USD,51,,SUP-00857
PRD-00022,SKU-SYN-77282,Synthetic Lubricants Grade-W,Synthetic Lubricants,Crude Oil / Polymers,0.8,2835.61,USD,5,500 units,SUP-00413
PRD-00023,SKU-SYN-17955,Printed Circuit Boards Grade-X,Printed Circuit Boards,Copper,0.35,3087.03,USD,11,,SUP-00482
PRD-00024,sku_24,Heavy Engine Castings Grade-Y,,Steel,0.5,$733.88,USD,56,500 units,SUP-00232
PRD-00025,SKU-SYN-25781,Copper Conductors & Wiring Grade-Z,Copper Conductors & Wiring,Copper,0.65,-2400.24,USD,56,500,SUP-00560
PRD-00026,SKU-SYN-70733,Printed Circuit Boards Grade-A,Printed Circuit Boards,Copper,0.35,2420.26,USD,12,250,SUP-00799
